Advertised,AdvertisedLocationName,AdvertisedShortLocationName,PrimaryLocationCode,CountryCode,CountyNo,Deleted,LocationSignature,Prognosticated,OfficialLocationName,Geometry.SWEREF99TM,Geometry.WGS84
True,Alingsås,Alingsås,119,SE,[14],False,A,True,Alingsås,POINT (353852 6423240),POINT (12.532185446104254 57.92690516743591)
True,Anneberg,Anneberg,155,SE,[13],False,Ag,True,Anneberg,POINT (326462 6381052),POINT (12.100776421963255 57.53862892560069)
True,Abisko Östra,Abisko Ö,106,SE,[25],False,Ak,True,Abisko östra,POINT (657629 7586635),POINT (18.83034620604857 68.34864107860172)
True,Aneby,Aneby,151,SE,[6],False,Any,True,Aneby,POINT (488831 6410627),POINT (14.811896253047214 57.83743457399663)
True,Aspen,Aspen,203,SE,[14],False,Apn,True,Aspen,POINT (335801 6404715),POINT (12.240512226679396 57.7544220544198)
True,Arvika,Arvika,186,SE,[17],False,Ar,True,Arvika,POINT (364238 6615302),POINT (12.590803362488185 59.653634160114606)
True,Arboga,Arboga,167,SE,[19],False,Arb,True,Arboga,POINT (547732 6584582),POINT (15.840525562859774 59.39718938471843)
True,Arlanda C,Arlanda C,194,SE,"[1, 2]",False,Arnc,True,Arlanda central,POINT (665036 6615971),POINT (17.928489376767153 59.6490721184725)
True,Aspedalen,Aspedalen,201,SE,[14],False,Asd,True,Aspedalen,POINT (336906 6405568),POINT (12.258478349737114 57.76247806425995)
True,Alvesta,Alvesta,144,SE,[7],False,Av,True,Alvesta,POINT (472966 6306122),POINT (14.556191756663194 56.89802192793569)
True,Avesta Krylbo,Avesta Krylbo,214,SE,[20],False,Avky,True,Avesta Krylbo,POINT (567566 6666459),POINT (16.21614783613068 60.129533240395325)
True,Barkåkra,Barkåkra,10663,SE,[12],False,Baa,True,Barkåkra,POINT (365370 6240890),POINT (12.824631907238487 56.29365574638131)
True,Bodafors,Bodafors,383,SE,[6],False,Bdf,True,Bodafors,POINT (481711 6373766),POINT (14.694780120813915 57.50610013766453)
True,Boden C,Boden,389,SE,[25],False,Bdn,True,Boden central,POINT (806029 7317197),POINT (21.70805332275366 65.82880233539142)
True,Brunflo,Brunflo,495,SE,[23],False,Bf,True,Brunflo,POINT (491542 6994065),POINT (14.83258391472947 63.07597328990661)
True,Berga,Berga,259,SE,[8],False,Bg,True,Berga,POINT (562413 6341963),POINT (16.03344296431932 57.216532806318675)
True,Bräkne-Hoby,Bräkne-Hoby,521,SE,[10],False,Bhb,True,Bräkne-Hoby,POINT (507195 6231837),POINT (15.116058337775867 56.23137013486128)
True,Bohus,Bohus,402,SE,[14],False,Bhs,True,Bohus,POINT (323196 6417465),POINT (12.019564370075221 57.86400556370349)
True,Billeberga,Billeberga,288,SE,[12],False,Bib,True,Billeberga,POINT (374640 6194958),POINT (12.995848248586679 55.883760198284975)
True,Billesholm,Billesholm,289,SE,[12],False,Bih,True,Billesholm,POINT (374013 6214203),POINT (12.976830145866249 56.05640540237722)
True,Bjärnum,Bjärnum,5004,SE,[12],False,Bjm,True,Bjärnum,POINT (419790 6239437),POINT (13.704058706656575 56.29292687924858)
True,Bjuv,Bjuv,306,SE,[12],False,Bjuv,True,Bjuv,POINT (370007 6217236),POINT (12.911074010161109 56.08256743620135)
True,Barkarby,Barkarby,250,SE,"[1, 2]",False,Bkb,True,Barkarby,POINT (662554 6588698),POINT (17.863678328010483 59.40544641022305)
True,Ballingslöv,Ballingslöv,10025,SE,[12],False,Bl,True,Ballingslöv,POINT (428576 6230498),POINT (13.848391954654778 56.21403392334321)
True,Borlänge C,Borlänge,427,SE,[20],False,Blgc,True,Borlänge central,POINT (523385 6705273),POINT (15.425472110792883 60.48294313144746)
True,Björkliden,Björkliden,326,SE,[25],False,Bln,True,Björkliden,POINT (651311 7592925),POINT (18.686353425150315 68.40838723444702)
True,Burlöv,Burlöv,544,SE,[12],False,Blv,True,Burlöv,POINT (379179 6167787),POINT (13.080395582180266 55.64091823046342)
True,Blomstermåla,Blomstermåla,366,SE,[8],False,Bma,True,Blomstermåla,POINT (580962 6316028),POINT (16.332113994814883 56.98071116413157)
True,Bromölla,Bromölla,490,SE,[12],False,Bml,True,Bromölla,POINT (467726 6213676),POINT (14.481619522840045 56.06716458657247)
True,Bollnäs,Bollnäs,411,SE,[21],False,Bn,True,Bollnäs,POINT (574440 6802509),POINT (16.39172039510172 61.349484740921)
True,Bor,Bor,417,SE,[6],False,Bor,True,Bor,POINT (449655 6330620),POINT (14.168643518367546 57.11613155583396)
True,Bro,Bro,477,SE,"[1, 2]",False,Bro,True,Bro,POINT (648991 6600050),POINT (17.63295833296967 59.51230001127903)
True,Bankeryd,Bankeryd,247,SE,[6],False,Bry,True,Bankeryd,POINT (448271 6413497),POINT (14.128233643780135 57.86035988263995)
